lp,ord,kto,co,data,wytwórnia,część,uwagi,medium,genre
1226,Allen Woody,Woody Allen,La Musique de Manhattan A Midnight in Paris,2011,Milan,1,,,OSTR
1227,Allen Woody,Woody Allen,La Musique de Manhattan A Midnight in Paris,2011,Milan,2,,,OSTR
1228,Arizona Dream,"G. Bregović, Iggy Pop",Arizona Dream,1993,Kamarad (Phonogram),,,,OSTR
1229,Artist,Artist: Ludovic Bource,Artist,2011,Weinstein Company,1,,CD,OSTR
1230,Artist,Artist: Ludovic Bource,Artist,2011,Weinstein Company,2,,DVD,OSTR
1231,Back to the Future,various,Back to the Future,1985,MCA,,,,OSTR
1232,Batman,Prince,Batman,1989,Warner Bros.,,,,OSTR
1233,Batman Forever,various,Batman Forever,1995,Atlantic,,,,OSTR
1234,Birdy,Peter Gabriel,Birdy,1985,Virgin,,rolf,,OSTR
1235,Blade Runner,Vangelis,Blade Runner,1994,Warner,,Monika,,OSTR
1236,Bleu,Zbigniew Preisner,Bleu,1993,Virgin,,rolf,,OSTR
1237,Bond,The Best Of Bond... James Bond,The Best Of Bond... James Bond,2002,Capital Records,,,,OSTR
1238,Charlie Brown,Vince Guaraldi Trio,A Boy Named Charlie Brown,1989,Fantasy,,,,OSTR
1239,Crank 2,Mike Patton,Crank: High Voltage,2009,EMI,,,,OSTR
1240,Dead Man,Neil Young,Dead Man,1996,Vapor,,,,OSTR
1241,Dead Man Walking,various,Dead Man Walking,1995,SONY,,,,OSTR
1242,Desperado,Desperado,Desperado,1995,SONY,,,,OSTR
1243,Fiddler on the Roof,Jerry Bock,Fiddler on the Roof,,Selles,,,,OSTR
1244,Fight Club,The Dust Brothers,Fight Club,1999,Restless,,,,OSTR
1245,Forrest Gump,various,Forrest Gump,1994,SONY,1,,,OSTR
1246,Forrest Gump,various,Forrest Gump,1994,SONY,2,,,OSTR
1247,Frida,Elliot Goldenthal,Frida,2002,Deutsche Grammophon,,,,OSTR
1248,From Dusk Till Dawn,From Dusk Till Dawn,From Dusk Till Dawn,1996,SONY,,,,OSTR
1249,Gabriel Peter,Peter Gabriel,Passion – Music fo The Last Temptation Of Christ (a film by Martin Scorsese),1989,(Real World) Virgin,,KOPIA,,OSTR
1250,Garden State,Garden State,Garden State,2004,Epic Records,,Monika,,OSTR
1251,Get Shorty,Get Shorty,Get Shorty,1995,,,,,OSTR
1252,Glass Philip,Philip Glass,The Fog of War,2003,Orange Mountain Music,,rolf,,OSTR
1253,Glass Philip,Philip Glass,The Hours,2002,Nonesuch,,,,OSTR
1254,Glass Philip,Philip Glass,Koyaanisqatsi,1998,Nonesuch (Warner),,,,OSTR
1255,Glass Philip,Philip Glass,Powaqqatsi,1988,Nonesuch (Warner),,rolf,,OSTR
1256,Glass Philip,Philip Glass,Kundun,1997,Nonesuch (Warner),,,,OSTR
1257,Glass Philip,Philip Glass,The Secret Agent,1996,Nonesuch (Warner),,rolf,,OSTR
1258,Glass Philip,Philip Glass,Dracula - Kronos Quartet,1999,Nonesuch (Warner),,,,OSTR
1259,Godfather,Nino Rota,The Godfather,1972,MCA,,,,OSTR
1260,Godfather part II,Nino Rota,The Godfather part II,1974,MCA,,,,OSTR
1261,Graduate,Paul Simon & Art Garfunkel,Graduate,1968,SONY,,,,OSTR
1262,Grand Bleu,Eric Serra,Le Grand Bleu,1988,Virgin,,,,OSTR
1263,Greenwood Jonny,Jonny Greenwood,There Will Be Blood,2007,Paramount,,,,OSTR
1264,Greenwood Jonny,Jonny Greenwood,Norwegian Wood,2010,Nonesuch,,,,OSTR
1265,Hair,Hair,Hair,,RCA,,,,OSTR
1266,Himalaya,Bruno Coulais,Himalaya,1999,Galatee,,Monika,,OSTR
1267,Judgement Night,various,Judgement Night,1993,Epic,,,,OSTR
1268,Juno,various,Juno,2007,Rhino,,,,OSTR
1269,Ladykillers,various,Ladykillers,2004,SONY,1,,,OSTR
1270,Ladykillers,various,Ladykillers,2004,SONY,2,,,OSTR
1271,Lost Highway,various,Lost Highway,1996,Interscope,,,,OSTR
1272,Morricone,Ennio Morricone,,1999,BMG,1,,,OSTR
1273,Morricone,Ennio Morricone,,1999,BMG,2,,,OSTR
1274,Morricone,Ennio Morricone,The Dollars Trilogy,2010,Ultimate CD,,,,OSTR
1275,Moulin Rouge,various,Moulin Rouge,2001,Interscope,,,,OSTR
