lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1303,Martha Argerich,Argerich Martha,"Czajkowski, Schumann",Kazimierz Kord,OSFN,Martha Argerich,"Czajkowski, 1 koncert fortepianowy b-moll op.23; Schumann, Koncert Fortepianowy a-moll op.54; bisy (Bach, Chopin, Scarlatti, Ginastera)",1979/80,1996,CD Accord (Polskie Nagrania),,,klasyka,classics,CD
1304,Martha Argerich,Argerich Martha,"Rachmaninoff, Czajkowski",,,Martha Argerich,"Rachmaninoff 3, Czajkowski 1",1980.82,1995,Philips,,,klasyka,classics,CD
1305,Martha Argerich,Argerich Martha,various,,,Martha Argerich,Martha Argerich and friends - live from Lugano 2010,,2011,EMI,1,,klasyka,classics,CD
1306,Martha Argerich,Argerich Martha,various,,,Martha Argerich,Martha Argerich and friends - live from Lugano 2010,,2011,EMI,2,,klasyka,classics,CD
1307,Martha Argerich,Argerich Martha,various,,,Martha Argerich,Martha Argerich and friends - live from Lugano 2010,,2011,EMI,3,,klasyka,classics,CD
1308,Jan Sebastian Bach,Bach Jan Sebastian,Francesco Tristano,,,,BachCage,,2011,Deutsche Grammophon,,Monika,klasyka,classics,CD
1309,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Karl Richter,Msza h-moll BWV 232,1962,1999,DG-Polydor,1,,klasyka,classics,CD
1310,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,,,Karl Richter,Msza h-moll BWV 232,1962,1999,DG-Polydor,2,,klasyka,classics,CD
1311,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Otto Klemperer,Philharmonia Choir & Orchestra,Pears/Fischer-Diskau/Schwarzkopf/Ludwig,St. Matthew Passion,1962,2001,EMI,1,,klasyka,classics,CD
1312,Jan Sebastian Bach,Bach Jan Sebastian,Jan Sebastian Bach,Otto Klemperer,Philharmonia Choir & Orchestra,Pears/Fischer-Diskau/Schwarzkopf/Ludwig,St. Matthew Passion,1962,2001,EMI,2,,klasyka,classics,CD
